Date,Username,Text
"Feb 22, 2024 · 3:17 AM UTC",@BANGSAygSUJUD,"Saat ayah #Prabowo nyekar orang tuanya, ada ibu menangisi putrinya yg tak bisa pulang, di Kuala Lumpur  Hati ayah teriris, meminta tolong bunda Nanik bawa kembali si anak apapun resikonya  Tangis pecah saat si anak tahu dia tdk sendiri, ada yg peduli 😭  Kini dia telah pulang ❤"
"Feb 21, 2024 · 7:13 AM UTC",@Boediantar4,BIKIN MALU ‼️  PRABOWO-GIBRAN DALAM SOROTAN 3 MEDIA TERKEMUKA DUNIA: The Guardian Inggris New York Times USA The Falls Friend Belanda  MATA DUNIA SUDAH TERBUKA PADA PASLON 02 YG MEMALUKAN ‼️
"Feb 22, 2024 · 3:39 AM UTC",@chavotic,dua kata lucu : prabowo kuromi
"Feb 20, 2024 · 10:37 AM UTC",@OmJ_JeNggot,"Real Count KPU  Total suara Masuk 72,37%   Sumber CNN TV   01 . Anies - Muhaimin  Menang Telak 57,34% Suara   02. Prabowo - Gibran  Hanya 23,69% suara  03 Ganjar - Mahfud  Cuma 16,69 % Suara   Berarti suara 01 sudah tidak mungkin di Kejar   Selamat @aniesbaswedan @cakimiNOW"
"Feb 21, 2024 · 7:10 AM UTC",@yaniarsim,Capres Pelanggar Etik 👉 @prabowo
"Feb 22, 2024 · 3:40 AM UTC",@bajaklautKW,Tedi itu siapa sih??
"Feb 21, 2024 · 3:47 AM UTC",@Mythicalforest,"Bongbong Marcos: Anak diktator, menggunakan disinformasi dan sosial media untuk whitewashing kejahatan keluarga   Prabowo: Penjahat HAM berat menggunalan citra ""gemoy untuk whitewashing reputasinya di Timor Leste dan 98  ""Birds of feather flock together"""
"Feb 21, 2024 · 11:27 AM UTC",@dapitnih,"Tugas kalian tambah berat juga ya? Awalnya buat bela Prabowo, ternyata ditambah bela Jokowi. Sekarang harus bela AHY juga ternyata 😅😅😅"
"Feb 21, 2024 · 2:44 PM UTC",@HARIMAU_JAYA,Kami dari pendukung 02 PRAGIB @prabowo @gibran_tweet mengucapkan Selamat kepada @Nasdem @DPP_PKB @cakimiNOW yang msh mau berada dlm 1 barisan bersama anak abah @aniesbaswedan @BabehAldoAje135 yg kepengen banget “PERANG”😂   NKRI HARGA MATI!!! 🫡🇮🇩  HIDUP INDONESIA RAYA🫡🇮🇩 🫰🏽❤️✌🏽
"Feb 22, 2024 · 2:51 AM UTC",@Kemhan_RI,"Momen Menteri Pertahanan Prabowo Subianto @prabowo menerima courtesy call Duta Besar Prancis untuk Indonesia @FranceJakartaFR , H.E. Mr. Fabien Penone di Kemhan, Jakarta, Rabu (21/2)."
"Feb 22, 2024 · 1:40 AM UTC",@TSolihien,Heran Pendukung 02 teriak2 Yaman Yaman. Anies keturunan Yaman.. Ganjar Prabowo Asli keturunan Indonesia. Tidak tau dia Prabowo keturunan China.  Emang susah ngejelasinnya biarpun pake data ttp kagak masuk.  Bilang 01 03 jg curang tuh ada videonya tp gk mau usut kecurangan🤦‍♀️
"Feb 22, 2024 · 3:39 AM UTC",@proclaro_lover,"Iya bro, semoga beritanya sampai ke mereka dan segera ada tindakan. 🙏"
"Feb 18, 2024 · 12:28 PM UTC",@FiinaDu,Betulkah kepala desa yg tolak dukung Prabowo Gibran mulai dipanggil polisi ?  Sehat sehat negeriku.  📽️ #ig_gadiss_desaa55
"Feb 22, 2024 · 1:48 AM UTC",@dancersejati07,"""Lembaga survei di Indonesia itu biasanya pesenan, dibayar oleh salah satu kontestan, supaya mempengaruhi pikiran rakyat. Semua yang punya nalar tahu bahwa itu bohong."" (Prabowo Subianto, 2019)  #BubarkanKPUdanBawaslu #BubarkanKPUdanBawaslu"
"Feb 22, 2024 · 3:39 AM UTC",@cubitisme,Ada yg ibu penasaran ijazah palsu kalo ga salah
"Feb 18, 2024 · 1:34 AM UTC",@smekdoncat,Tidak memilih prabowo.
"Feb 22, 2024 · 3:39 AM UTC",@mfauzir,"dulu akhir debat capres sampe mohon maaf ke kubu 01 dan 03 , mengakui ucapannya terlalu kasar.. demi menarik simpatik publik.. sekarang malah nuduh nuduh lagi munafik.."
"Feb 21, 2024 · 10:03 AM UTC",@Boediantar4,Pertanyaannya? • Jika JKW magnet mengapa PSI tak lolos ke parlemen? • Jika Prabowo kuat 58% kenapa Gerindra hanya dapat 13%? • Jika Ganjar jelek 17% kenapa PDIP juara dg 18%  JAWABANNYA: MANIPULASI SISTEMIK HANYA DILAKUKAN UNTUK SUARA PILPRES 🤪❗
"Feb 22, 2024 · 3:39 AM UTC",@ForeverYakub,Alaahhh...kamu aja nanti detik2 Terakhir baru nentuin pilihan....kenapa..?? Karena kamu cuma mau nempel sama pemenang tampa harus berjuang....
"Feb 22, 2024 · 3:17 AM UTC",@barubikinlol,Bodyguard Beyoncé aja gak segininya padahal belio lebih penting dari prabowo
"Feb 22, 2024 · 3:39 AM UTC",@oi_syahril,"Ga malu ka....lihat, baca dan resapi jejak digital yang bertebaran di dunia Maya"
"Feb 22, 2024 · 2:04 AM UTC",@unmagnetism,"selain gibran dan pak ganjar, pernah dinotice pak prabowo juga ternyata sisa pak anies cak imin sama prof mahfud yg blum notice 😭"
"Feb 21, 2024 · 1:49 PM UTC",@bengkeldodo,"Syukurlah... Suara malah jadi bertambah setelah pemungutan suara ulang.. Trus yang minta pemilu diulang kalau sampai kejadian seperti ini apa masih mau teriak curang?   Suara Prabowo Gibran Tambah 25, Anies Muhaimin Berkurang 21  dan Ganjar Mahfud Kehilangan 17 suara  #PSU #Kebumen inikebumen.com/kebumen/86511……"
"Feb 22, 2024 · 3:39 AM UTC",@giovannipratama,Nanti kepake pas jaman presiden prabowo dils. Mkn Grts. Wkwkwk
"Feb 22, 2024 · 2:35 AM UTC",@NayDonuts,"JOKOWI EFFECT. .  .  Sangat berkontribusi besar terhadap perolehan suara paslon 02 @prabowo @gibran_tweet di seluruh Jawa. .  Jadi pengen bilang, ""PDIP itu ya ngono loh, mentang2. Lah iya, padahal PDIP kalau enggak ada Pak @jokowi juga, duh kasihan dah""  .  🏃‍♀️💨😁✌"
"Feb 21, 2024 · 2:25 AM UTC",@Catatan_ali7,Kader Demokrat Dan simpatisan nya selalu menarasi kan ANIES BASWEDAN Penghianat   Lucu nya mereka sekarang Nempel Ke PRABOWO Orang yang Pernah mereka Kasih Julukan JENDERAL KARDUS Karna Menghianati Mereka juga  Pun Hinaan untuk Jokowi berubah jadi Pujian Finally dapet MENTERI 😅
"Feb 22, 2024 · 3:39 AM UTC",@RicoStickman,"You shouldn't be tired, because raising awareness about Palestine definitely important now."
"Feb 20, 2024 · 4:08 PM UTC",@SujudAde,"Logikanya gini wir  Kalo bener Jkw magnet suara knapa PSI ga lolos parlemen? Kalo prabowo bener 58%, knapa Gerindra cuma urutan ke-3? Kalo ganjar segitu jeleknya, knapa PDIP suara terbanyak?  Jawabannya adalah manipulasi jumlah suara.  Gitu aja"
"Feb 22, 2024 · 3:39 AM UTC",@RAMDANAzhariNur,memalukan.. ketika rakyat diperbodoh dengan mengikut sertakan mereka dlm kecurangan.. maka rakyat terlibat aksi itu tdk tinggal dalam ruang hampa dan terisolasi.. mereka akan kembali ketengah keluarganya dgn menularkan kebohongan selanjutnya!
"Feb 22, 2024 · 3:38 AM UTC",@INDONESIAPERKS4,"Padahal Prabowo Belum Menjabat Sebagai Presiden, Tapi Kelakuan Ajudannya ini sangat Reseh   🤣🤣🤣"
"Feb 22, 2024 · 3:38 AM UTC",@DOnyankupon,Faktor penyebab prabowo menang itu @Jokowi himself . Jika beliau konsisten di @ganjarpranowo maka hasil kotak suara akan berbeda signifikan.
"Feb 22, 2024 · 2:51 AM UTC",@Kemhan_RI,"Momen Menteri Pertahanan Prabowo Subianto @prabowo, menerima kunjungan Duta Besar Serbia untuk Indonesia H.E. Mrs. Marija Boskovic di Kemhan, Jakarta, Rabu (21/2)."
"Feb 22, 2024 · 3:38 AM UTC",@AkiSuminta,"Ga bisa di otak atik,algoritma KPU dh di kunci prabowo menang,walo suara anies menang itungan persentasenya dh di kunci,nah lo mau ngitung manual bukti2nya yg ga melalui KPU?dah lah 02 gaassskeeeuun🤣🤣"
"Feb 22, 2024 · 3:38 AM UTC",@denniocaroline,Dulu khan bikin Gubernur DKI Tandingan juga itu jaman Ahok 🤣
"Feb 22, 2024 · 2:19 AM UTC",@MakrupQobul,Andai makhluk yg namanye Jokowi - Prabowo dulu gak pada nyapres mungkin pilpres Indonesia sampai sekarang gak sebrutal ini 🤣🤣
"Feb 22, 2024 · 3:38 AM UTC",@Yadiesupri1,Ralat prabowo sadar di 2024..😁🙏
"Feb 22, 2024 · 3:38 AM UTC",@mbellaangel,Kemenangan Prabowo-Gibran menciptakan suasana optimisme dan kegembiraan. Mari kita terus mendukung mereka untuk mewujudkan visi dan misi yang luar biasa. 🌞👏
"Feb 21, 2024 · 3:51 AM UTC",@BSbukit,"Jika diantara kalian menang Pilpres dgn ""CURANG"" @aniesbaswedan @cakimiNOW , @prabowo @gibran_tweet , @ganjarpranowo @mohmahfudmd gaji yg kalian dapat selama 5 tahun adalah HARAM, Kabinet Kalian adalah ""ILEGAL"" kalian Hina Dunia Akhirat! krn menipu ratusan juta rakyat, mikir!🕵🏿‍♀️"
"Feb 22, 2024 · 3:38 AM UTC",@esdawetseger_,loh anies ini ternyata calon presiden real madrid to😅
"Feb 22, 2024 · 12:49 AM UTC",@korantempo,Kemenangan versi hitung cepat Prabowo-Gibran dalam Pilpres 2024 dibayar tunai dengan rekor baru harga beras.  Kenaikan harga beras itu terjadi karena stoknya berkurang akibat program bantuan sosial dirapel pada awal Februari.  #KoranTempo #Editorial
"Feb 21, 2024 · 8:08 AM UTC",@Miduk17,"Fun fact hari ini :  ✅️ Moeldoko tidak menghadiri pelantikan AHY di Istana ✅️ AHY akan satu meja dengan Moeldoko saat rapat kabinet ✅️ Kewenangan AHY (Pensiunan Mayor) lebih besar dari kewenangan Moeldoko (Mantan Panglima) ✅️ Moeldoko dan AHY sama2 pendukung Prabowo, jika keduanya diangkat dikabinet Prabowo maka suasana panas dingin akan berlanjut lebih lama"
"Feb 22, 2024 · 3:38 AM UTC",@AstriSundini,"Jangan adigung mayor teddy, dunia bisa berubah dengan cepat"
"Feb 22, 2024 · 3:38 AM UTC",@vincentlee55656,"Kenapa mereka tidak capres di Yaman atau Suriah atau di Arab atau qatar aja ya, kenapa capres di Indonesia, apa mereka nyasar?"
"Feb 22, 2024 · 3:38 AM UTC",@UNapoleonP23,Terima Kasih @jokowi demi anak anda ! dan @prabowo menang anda sudah membuat harga BERAS tidak terkendali ! Karena stock beras dipasaran tersedot program Bansos ! Anda Culas Rakyat Sengsara ! #AMINmenang @aniesbaswedan Presiden Kami
"Feb 22, 2024 · 3:38 AM UTC",@tompihariadi,"Lebih parah era Jokowi vs Prabowo lah, cebong vs kampret, panastak vs panasbung wkwkwk"
"Feb 22, 2024 · 3:38 AM UTC",@mbellaangel,Terima kasih CSIS Indonesia x Cyrus Network atas pengungkapan data demografis yang begitu detail. Hasilnya menunjukkan bahwa Prabowo-Gibran mendapatkan dukungan merata dari seluruh lapisan masyarakat. 👥🌟 https://www.instagram.com/p/C3msRzjsqJN/?utm_source=ig_web_copy_link
